ts_event,open,high,low,close,volume,volume_A,volume_B,volume_N
2024-03-18 00:00:00-04:00,5193.75,5240.25,5192.0,5207.75,1313236,655955,657214,67
2024-03-19 00:00:00-04:00,5208.0,5244.75,5186.0,5236.5,1299315,641874,657426,15
2024-03-20 00:00:00-04:00,5236.5,5307.0,5233.0,5306.75,1340903,667878,672977,48
2024-03-21 00:00:00-04:00,5306.5,5322.75,5299.0,5303.0,1241147,617661,623477,9
2024-03-22 00:00:00-04:00,5303.0,5311.75,5287.75,5289.75,1009854,511195,498659,0
2024-03-24 00:00:00-04:00,5290.5,5295.0,5287.25,5289.75,50415,24236,26072,107
2024-03-25 00:00:00-04:00,5289.75,5293.0,5272.5,5282.75,825750,412805,412895,50
2024-03-26 00:00:00-04:00,5282.75,5300.5,5263.0,5278.5,1026355,520880,505413,62
2024-03-27 00:00:00-04:00,5278.25,5313.75,5270.75,5305.0,1383718,694970,688716,32
2024-03-28 00:00:00-04:00,5304.75,5321.0,5301.0,5304.25,1090055,537621,552434,0
2024-03-31 00:00:00-04:00,5314.25,5333.5,5312.0,5328.25,48841,23596,25004,241
2024-04-01 00:00:00-04:00,5328.5,5330.5,5282.25,5289.5,1053354,539112,514223,19
2024-04-02 00:00:00-04:00,5289.25,5296.0,5235.0,5255.0,1350369,673128,677178,63
2024-04-03 00:00:00-04:00,5255.0,5284.75,5244.5,5280.0,1320984,656605,664323,56
2024-04-04 00:00:00-04:00,5280.25,5308.5,5191.5,5205.5,1870796,935228,935391,177
2024-04-05 00:00:00-04:00,5205.25,5272.5,5195.5,5255.75,1766102,894299,871803,0
2024-04-07 00:00:00-04:00,5263.25,5269.25,5243.75,5246.5,53379,27500,25670,209
2024-04-08 00:00:00-04:00,5246.5,5268.75,5236.5,5255.0,1083707,535109,548548,50
2024-04-09 00:00:00-04:00,5254.75,5274.25,5208.25,5264.25,1591307,800260,791005,42
2024-04-10 00:00:00-04:00,5264.5,5285.0,5176.5,5206.5,2304088,1165620,1138436,32
2024-04-11 00:00:00-04:00,5206.5,5257.5,5173.5,5244.25,1676506,842452,834023,31
2024-04-12 00:00:00-04:00,5244.25,5248.75,5150.0,5166.5,1878621,916497,962124,0
2024-04-14 00:00:00-04:00,5166.5,5187.75,5164.25,5181.0,104810,50516,53577,717
2024-04-15 00:00:00-04:00,5181.0,5213.25,5081.25,5093.25,2128908,1063620,1065244,44
2024-04-16 00:00:00-04:00,5093.25,5123.25,5078.75,5104.5,2009908,992822,1017029,57
2024-04-17 00:00:00-04:00,5104.5,5120.5,5047.0,5076.5,1855235,916732,938457,46
2024-04-18 00:00:00-04:00,5076.5,5095.25,4963.5,5000.5,1870129,934349,935676,104
2024-04-19 00:00:00-04:00,5001.0,5058.0,4991.25,5003.5,2010947,1001751,1009196,0
2024-04-21 00:00:00-04:00,5014.25,5023.75,5009.25,5015.5,69151,33652,35023,476
2024-04-22 00:00:00-04:00,5015.5,5076.75,5006.0,5047.25,1498213,749567,748537,109
2024-04-23 00:00:00-04:00,5047.5,5127.25,5042.5,5125.25,1313165,646981,666021,163
2024-04-24 00:00:00-04:00,5125.25,5128.75,5070.0,5074.5,1452566,728699,723625,242
2024-04-25 00:00:00-04:00,5074.25,5134.75,5022.25,5124.5,1833927,918557,915301,69
2024-04-26 00:00:00-04:00,5124.5,5146.5,5104.5,5131.75,1342318,658551,683767,0
2024-04-28 00:00:00-04:00,5140.25,5147.0,5135.0,5143.75,33762,16633,16986,143
2024-04-29 00:00:00-04:00,5143.5,5154.25,5118.75,5143.25,1117046,554873,562152,21
2024-04-30 00:00:00-04:00,5143.0,5145.5,5048.5,5064.75,1604670,801138,803178,354
2024-05-01 00:00:00-04:00,5064.75,5126.75,5037.75,5071.75,1901299,947326,953877,96
2024-05-02 00:00:00-04:00,5071.75,5118.0,5036.25,5106.75,1504318,751370,752892,56
2024-05-03 00:00:00-04:00,5106.75,5166.75,5099.25,5161.5,1501613,745099,755801,713
2024-05-05 00:00:00-04:00,5166.75,5169.75,5156.0,5159.75,32480,16318,15982,180
2024-05-06 00:00:00-04:00,5160.0,5208.75,5155.75,5208.75,968798,489907,478817,74
2024-05-07 00:00:00-04:00,5208.5,5226.75,5202.25,5212.75,1065267,539304,525938,25
2024-05-08 00:00:00-04:00,5212.5,5218.0,5188.75,5208.0,964432,484615,479801,16
2024-05-09 00:00:00-04:00,5208.25,5246.0,5195.0,5241.25,1056936,520985,535931,20
2024-05-10 00:00:00-04:00,5241.25,5264.0,5232.75,5241.5,1032245,517485,514760,0
2024-05-12 00:00:00-04:00,5240.5,5250.0,5239.75,5249.0,24707,11926,12736,45
2024-05-13 00:00:00-04:00,5249.0,5264.0,5233.25,5241.5,883387,441320,442006,61
2024-05-14 00:00:00-04:00,5241.5,5277.5,5216.75,5275.25,1195368,589682,605668,18
2024-05-15 00:00:00-04:00,5275.25,5343.25,5266.25,5342.5,1343075,659746,683268,61
2024-05-16 00:00:00-04:00,5342.25,5349.0,5315.5,5318.5,1155468,587919,567492,57
2024-05-17 00:00:00-04:00,5318.75,5328.75,5305.75,5327.75,963629,481011,482618,0
2024-05-19 00:00:00-04:00,5329.25,5336.5,5329.0,5334.25,27388,12661,14632,95
2024-05-20 00:00:00-04:00,5334.5,5348.25,5323.75,5332.25,976518,484786,491701,31
2024-05-21 00:00:00-04:00,5332.5,5349.25,5322.5,5345.75,941941,464924,476988,29
2024-05-22 00:00:00-04:00,5345.75,5361.75,5306.75,5361.0,1226321,609257,616884,180
2024-05-23 00:00:00-04:00,5361.0,5368.25,5273.5,5292.5,1914168,957812,956309,47
2024-05-24 00:00:00-04:00,5292.75,5329.25,5286.0,5320.75,1160868,579399,581469,0
2024-05-26 00:00:00-04:00,5321.75,5324.25,5312.5,5316.5,17879,9170,8679,30
2024-05-27 00:00:00-04:00,5316.75,5335.0,5316.25,5329.5,93507,46405,47062,40
2024-05-28 00:00:00-04:00,5329.75,5339.0,5296.75,5307.25,1262491,623729,638737,25
2024-05-29 00:00:00-04:00,5307.5,5310.25,5256.0,5258.25,1397588,702777,694732,79
2024-05-30 00:00:00-04:00,5258.25,5277.0,5234.5,5246.0,1397058,683631,713299,128
2024-05-31 00:00:00-04:00,5246.25,5307.0,5205.5,5299.25,2241462,1127662,1113800,0
2024-06-02 00:00:00-04:00,5299.5,5311.0,5290.25,5307.75,59629,28432,31095,102
2024-06-03 00:00:00-04:00,5307.5,5313.25,5246.75,5299.25,1703347,843260,860063,24
2024-06-04 00:00:00-04:00,5299.25,5314.75,5262.0,5313.5,1641905,813387,828511,7
2024-06-05 00:00:00-04:00,5313.5,5372.75,5305.5,5369.75,1357466,670665,686368,433
2024-06-06 00:00:00-04:00,5370.0,5373.25,5345.25,5366.75,1165751,582647,583067,37
2024-06-07 00:00:00-04:00,5367.0,5385.5,5329.0,5353.5,1476864,743778,733086,0
2024-06-09 00:00:00-04:00,5351.5,5360.5,5348.25,5356.0,28000,13984,13913,103
2024-06-10 00:00:00-04:00,5355.75,5375.75,5338.25,5366.0,1124056,558031,565983,42
2024-06-11 00:00:00-04:00,5366.0,5387.5,5334.5,5387.25,1317778,650670,667071,37
2024-06-12 00:00:00-04:00,5387.0,5454.5,5385.0,5440.75,1720212,868036,850718,1458
2024-06-13 00:00:00-04:00,5440.75,5452.75,5408.5,5441.25,1321074,663234,657830,10
2024-06-14 00:00:00-04:00,5441.25,5443.0,5397.75,5435.75,1068390,532796,535400,194
2024-06-16 00:00:00-04:00,5435.5,5439.75,5432.0,5435.75,11363,5697,5623,43
2024-06-17 00:00:00-04:00,5435.75,5494.0,5424.75,5478.5,443482,217506,225960,16
2024-06-18 00:00:00-04:00,5478.5,5498.0,5473.5,5492.25,204390,100959,103430,1
